District,Ward_code,Ward
Cherwell ,E05010928,Bicester West
Cherwell,E05010923,Banbury Hardwick
Cherwell ,E05010925,Bicester East
Cherwell ,E05010930,Deddington
Cherwell ,E05010924,Banbury Ruscote
Oxford,E05006546,Blackbird Leys
Oxford,E05006548,Churchill
Oxford,E05006551,Headington
Oxford,E05006559,Marston
Oxford,E05006555,Iffley Fields
Oxford,E05006557,Littlemore
Vale of White Horse,E05011714,Cumnor 
Vale of White Horse,E05011715,Drayton 
Vale of White Horse,E05009770,Stanford
Vale of White Horse,E05012977,Marcham
Vale of White Horse,E05009769,Ridgeway 
West Oxfordshire ,E05006634,Carterton South
West Oxfordshire ,E05009363, Burford
West Oxfordshire ,E05006637,Chipping Norton
West Oxfordshire ,E05006649,Witney East
West Oxfordshire ,E05006648,Witney Central
South Oxfordshire,E05009735,Chalgrove
South Oxfordshire,E05009734,Berinsfield 
South Oxfordshire,E05011701, Cholsey
South Oxfordshire,E05011710,Wallingford 
South Oxfordshire,E05012854,Sonning Common
